Legislation,Offence
CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1950 S.12(1),Seduction or prostitution of girl under 17. Person with custody/charge/care causes/ encourages the prostitution of the girl   
CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1950 S.12(1),Seduction or prostitution of girl under 17. Person with custody/charge/care causes/encourages commission of an indecent assault on the girl 
CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1950 S.12(2),Causing girl to suffer act in section 11(1) by knowingly allowing her to consort with or enter into or continue in the employment of a prostitute/ person of known immoral character.
CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1950 S.14(1),Person with custody/charge/care of a child aged 4+ or a young person allowing the child or young person to reside in/frequent a brothel
CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1950 S.99(5),Carrying on a voluntary home without being registered with the Ministry 
CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1950 S.101(3),Contravention of regulations made under this section regarding the conduct of voluntary care homes and securing the welfare of children therein. 
CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1968  S.20,Wilfully abandoning young person under 16 in a manner likely to cause him unnecessary suffering or injury to health
CHILDREN AND YOUNG PERSONS  ACT (NORTEHRN IRELAND) 1968 S.20,Wilfully abandoning child under 14 in a manner likely to cause him unnecessary suffering or injury to health 
CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1968  S.20,Causing young person under 16 to be abandoned in a manner likely to cause him unnecessary suffering or injury to health
CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1968  S.20,Causing child under 14 to be abandoned in a manner likely to cause him unnecessary suffering or injury to health
CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1968  S.20,Wilfully assaulting young person under 16
CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1968  S.20,Causing child under 14 to be assaulted in a manner likely to cause him unnecessary suffering or injury to health
CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1968  S.20,Causing young person under 16 to be ill-treated in a manner likely to cause him unnecessary suffering or injury to health
CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1968  S.20,Causing child under 14 to be ill-treated in a manner likely to cause him unnecessary suffering or injury to health
CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1968  S.20,Causing young person under 16 to be neglected in a manner likely to cause him unnecessary suffering or injury to health
CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1968 S.20 ,Causing child under 14 to be neglected in a manner likely to cause him unnecessary suffering or injury to health
CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1968 S.20 ,Wilfully assaulting child under 14 in a manner likely to cause him unnecessary suffering or injury to health
CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1968 S.20 ,Wilfully ill-treating young person under 16 in a manner likely to cause him unnecessary suffering or injury to health
CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1968 S.20,Wilfully ill-treating child under 14 in a manner likely to cause him unnecessary suffering or injury to health
CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1968 S.20,Wilfully neglecting young person under 16 in a manner likely to cause him unnecessary suffering or injury to health
CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1968 S.20 ,Wilfully neglecting child under 14 in a manner likely to cause him unnecessary suffering or injury to health
CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1968 S.20,Wilfully exposing young person under 16 in a manner likely to cause him unnecessary suffering or injury to health
CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1968 S.20,Wilfully exposing child under 14 in a manner likely to cause him unnecessary suffering or injury to health
CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1968 S.20 ,Causing young person under 16 to be assaulted  in a manner likely to cause him unnecessary suffering or injury to health
CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1968 S.20,Wilfully abandoning/exposing a child or young person in a manner likely to cause him unnecessary suffering or injury to health
CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1968 S.20,Causing/permitting child or young person to be abandoned/exposed  in a manner likely to cause him unnecessary suffering or injury to health
CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1968 S.20,Cause young person under 16 to be exposed in a manner likely to cause him unnecessary suffering or injury to health
CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1968 S.20,Cause child under 14 to be exposed in a manner likely to cause him unnecessary suffering or injury to health
CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1968 S.20,Doing an act of cruelty to a child or young person under 16 years  in a manner likely to cause him unnecessary suffering or injury to health 
CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1968 S.20,Causing or procuring an act of cruelty to a child or young person in a manner likely to cause him unnecessary suffering or injury to health
CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1968  S.20,Wilfully assaulting/ill-treating/neglecting child or young person  in a manner likely to cause him unnecessary suffering or injury to health
CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1968 S.20,Cause permit child or young person to be assaulted/ill-treated/neglected in a manner likely to cause him suffering or injury to health
CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1968 S.21(1) ,Person with custody/charge/care of a girl under 17 causes/encourages the commission of unlawful sexual intercourse with the girl
CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1968 S.21(1) ,Person with custody/charge/care of a girl under 17 causes/encourages the commission of the prostitution of the girl
CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1968 S.21(1) ,Person with custody/charge/care of a girl under 17 causes encourages the commission of an indecent assault on the girl 
CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1968 S.21(2) ,Person causing/encouraging any of the acts in Section 21(1) by knowingly allowing the girl to consort with/enter into or continue employment with a prostitute/person of known immoral character 
CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1968 S.22,Prior to 11 January 2001 - person commits an act of gross indecency with/towards a child under the age of 14.
CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1968 S.22,On or after 11 January 2001 - person commits an act of gross indecency with/towards a child under the age of 17. (amendment by the Criminal Justice and Court Services Act 2000)
CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND)  1968 S.23,Allowing a child over the age of 4 or a young person under the age of 17 to reside in or to frequent a brothel
CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1968 S.24,"Causing or allowing a child or young person under 16 to be used in a street, place or premises for begging "
CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1968 S.25,Giving intoxicating liquor to children
CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1968 S.29,Exposing a child under the age of 12 in a room to the risk of burning
CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1968 S.30,Failing to provide for the safety of children at entertainments
"CHILDREN AND YOUND PERSONS ACT (NORTHERN IRELAND) 1968, S.32","Any person wilfully obstructs any constable in the due exercise of his powers authorised by warrant under this section to search for any child or young person, or to remove any child or young person with or without search, and who may enter (if need be by force) any house, building or other place specified in the warrant, and may remove him therefrom. "
"CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1968, S9(1)",Offences relating to private fostering
"CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1968, S14",Offences relating to childminding and daycare
"CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1968, S140(5)",Harbouring or concealing a child who has run away
"CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1968, S144(3)",Harbouring or concealing a child who has run away
"CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1968, S127(5)",Offences relating to voluntary homes and children's homes
"CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1968, S129(3)",Offences relating to voluntary homes and children's homes
CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1968 S.132A,"Refuses or wilfully neglects to attend in answer to summons of an Appeal Tribunal under this sub-section (5) or (b) wilfully alters, suppresses, cancels or destroys or refuses to produce any document or article which he may be required to produce by virtue of that subsection"
CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1968 S.168,Wilful obstruction of authorised person in exercise of his duties under this section (power of inspection)
CHILDREN AND YOUNG PERSONS ACT 1969 S. 32(3),"Compels, persuades, incites or assists another person to absent remand home, special reception centre, training school, care of fit person, specified local authority accommodation"
CHILDREN (NORTHERN IRELAND) ORDER 1995 ART 29,Failing to inform authorities of the address of a looked after child
CHILDREN (NORTHERN IRELAND) ORDER 1995 ART 63(15),Obstruction in relation to emergency protection order to remove/prevent removal of a child
CHILDREN (NORTHERN IRELAND) ORDER 1995 ART 67,Intentional obstruction of power of entry and search associated with an emergency protection order
CHILDREN (NORTHERN IRELAND) ORDER 1995 ARTICLE.68,"Take away/keep a child from a responsible person or induce , assist or incite   a child to run or stay away from a responsible person - child in care, under an emergency protection order or in police protection"
CHILDREN (NORTHERN IRELAND) ORDER 1995 ART 69(9),Obstruction in relation to a recovery order to remove child
CHILDREN (NORTHERN IRELAND) ORDER 1995 ART75,Contravention of regulations made under this Article
CHILDREN (NORTHERN IRELAND) ORDER 1995 ART 77,Obstruction of power of entry and/or inspection held by the authority and exercised under this Article 
CHILDREN (NORTHERN IRELAND) ORDER 1995 ART 78,Carry on a voluntary home whilst being disqualified or employing a disqualified person in a voluntary home
CHILDREN (NORTHERN IRELAND) ORDER 1995 ARTICLE 79(3),Carrying on a voluntary home when not registered
CHILDREN (NORTHERN IRELAND) ORDER 1995 ART 81,Failure to comply with conditions imposed or varied under this Article (relating to the conduct of a home)
CHILDREN (NORTHERN IRELAND) ORDER 1995 ART 89,Failure to comply with regulations made under this Article 
CHILDREN (NORTHERN IRELAND) ORDER 1995 ART 93(8),"Obstruction of power of authority to enter, inspect or ask for such information in exercise of its duties"
CHILDREN (NORTHERN IRELAND) ORDER 1995 ART 94(4),Carrying on a childrens home whilst being disqualified or employing a disqualified person in a childrens home
CHILDREN (NORTHERN IRELAND) ORDER 1995 ARTICLE 95(3),Caring for  and accommodating children in home not registered
CHILDREN (NORTHERN IRELAND) ORDER 1995 ARTICLE 97(4),Breach of conditions attached to registration of registered childrens home
CHILDREN (NORTHERN IRELAND) ORDER 1995 ART 105,Failure to comply with regulations made under this Article 
CHILDREN (NORTHERN IRELAND) ORDER 1995 ARTICLE 117(1) (A)(I); (1)(A)(II); 1(A)(III); (1)(B); (1)(C); (1)(D); (1)(E); (1)(F); (1)(G),Private fostering offences
CHILDREN (NORTHERN IRELAND) ORDER 1995 ARTICLE 132 (2),Providing day care on unregistered premises
CHILDREN (NORTHERN IRELAND) ORDER 1995 ARTICLE 132 (6),Contravening enforcement notice in respect of providing unregistered child minding on domestic premises
CHILDREN (NORTHERN IRELAND) ORDER 1995 ARTICLE 132(8),Contravenes requirements to be complied with by child minders/by persons providing day care  for young children
CHILDREN (NORTHERN IRELAND) ORDER 1995 ARTICLE 132(9) ,Offences relating to disqualified persons and childminding; providing day care.
CHILDREN (NORTHERN IRELAND) ORDER 1995 ARTICLE 132 (12) ,Obstruction relating to inspection powers
